won, score, lives, time
0,10.954063604240282,0,26.07874321937561
0,7.560137457044673,0,16.78529405593872
0,20.229007633587788,0,36.53597545623779
0,19.029850746268657,0,63.786864280700684
0,18.867924528301888,0,47.704944372177124
0,47.89272030651341,0,123.98812937736511
0,7.191780821917808,0,34.5774884223938
0,6.785714285714286,0,53.21425008773804
0,0.6802721088435374,0,2.7129080295562744
0,8.058608058608058,0,19.98258948326111
0,0.32894736842105265,0,12.196396350860596
0,43.06049822064057,0,193.4091112613678
0,10.294117647058824,0,23.90686798095703
0,22.419928825622776,0,53.33382177352905
0,59.183673469387756,0,99.70115995407104
0,38.43416370106762,0,95.05800604820251
0,30.100334448160535,0,92.29250597953796
0,40.87591240875913,0,157.38914227485657
0,45.588235294117645,0,99.87759304046631
1,100.0,1,188.17323112487793
0,57.142857142857146,0,110.40974617004395
